iter	Passed	Remaining
0	1	126
1	2	114
2	3	108
3	4	100
4	5	99
5	6	98
6	7	99
7	8	99
8	9	99
9	11	100
10	12	99
11	13	97
12	14	95
13	15	94
14	16	93
15	17	92
16	18	91
17	19	89
18	20	88
19	22	88
20	23	86
21	24	85
22	25	84
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	39	69
36	40	68
37	41	67
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	16
85	91	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	106	1
99	107	0
